name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"dnrm2_noblas/16",140011198,5.01303,4.99522,ns,,,,,
"dnrm2_noblas/64",56022385,12.4926,12.445,ns,,,,,
"dnrm2_noblas/256",15204363,45.9092,45.7482,ns,,,,,
"dnrm2_noblas/1024",4200375,167.5,166.908,ns,,,,,
"dnrm2_noblas/4096",1056776,652.74,650.12,ns,,,,,
"dnrm2_noblas/16384",257410,2766.51,2756.48,ns,,,,,
"dnrm2_noblas/65536",65665,10574.6,10536.4,ns,,,,,
"dnrm2_blas/4",4652480,149.477,148.895,ns,,,,,
"dnrm2_blas/16",2057395,340.815,339.457,ns,,,,,
"dnrm2_blas/64",1770878,397.131,395.686,ns,,,,,
"dnrm2_blas/256",1100710,635.779,633.406,ns,,,,,
"dnrm2_blas/1024",668951,1054.08,1050.43,ns,,,,,
"dnrm2_blas/4096",447198,1546.68,1540.89,ns,,,,,
"dnrm2_blas/16384",126146,5522.9,5501.73,ns,,,,,
"dnrm2_blas/65536",33338,21099.7,21021.8,ns,,,,,
